Country,Area Code,Region,Level,Units,As Of,1Y Chg,5Y Ago,10Y Ago,25Y Ago,Life Expectancy,Health Expenditure,Adult Literacy Rate,,,,,,,
Afghanistan,AFG,Asia,30552,1000,2013,2.44%,27708,24019,11215,60.51,47.34,31.74%,,,,,,,
Albania,ALB,Europe,2774,1000,2013,-1.00%,2884,3015,3228,77.35,541.38,96.85%,,,,,,,
Algeria,DZA,Africa,39208,1000,2013,1.89%,36383,33461,25577,70.88,439.02,72.65%,,,,,,,
Angola,AGO,Africa,21472,1000,2013,3.13%,18927,15977,10051,51.46,212.1,70.58%,,,,,,,
Antigua and Barbuda,ATG,North America,90,1000,2013,1.03%,86,82,62,75.67,"1,029.40",98.95%,,,,,,,
Argentina,ARG,South America,41446,1000,2013,0.87%,40024,38309,32170,76.01,"1,551.44",97.92%,,,,,,,
Armenia,ARM,Asia,2977,1000,2013,0.25%,2968,3026,3543,74.44,299.29,99.61%,,,,,,,
Australia,AUS,Oceania,23131,1000,2013,1.79%,21692,20127,16814,82.1,"4,068.20",n.a.,,,,,,,
Austria,AUT,Europe,8474,1000,2013,0.52%,8365,8172,7620,80.94,"5,065.06",n.a.,,,,,,,
Azerbaijan,AZE,Asia,9417,1000,2013,1.30%,8947,8306,7104,70.62,572.33,99.78%,,,,,,,
Bahrain,BHR,Asia,1332,1000,2013,1.09%,1192,821,481,76.54,970.77,94.56%,,,,,,,
Bangladesh,BGD,Asia,156595,1000,2013,1.23%,149503,141235,104779,70.29,67.76,58.79%,,,,,,,
Barbados,BRB,North America,285,1000,2013,0.50%,279,272,258,75.13,"1,307.13",n.a.,,,,,,,
Belarus,BLR,Europe,9466,1000,2013,0.02%,9507,9730,10170,72.06,790.21,99.62%,,,,,,,
Belgium,BEL,Europe,11195,1000,2013,0.60%,10796,10421,9938,80.39,"4,320.11",n.a.,,,,,,,
Belize,BLZ,North America,332,1000,2013,2.42%,301,265,183,73.7,458.04,70.30%,,,,,,,
Benin,BEN,Asia,10323,1000,2013,2.71%,9241,7923,4836,59.12,69.61,42.36%,,,,,,,
Bhutan,BTN,Asia,754,1000,2013,1.63%,705,634,530,67.89,252.79,52.81%,,,,,,,
Bolivia,BOL,South America,10671,1000,2013,1.67%,9993,9188,6636,66.93,304.71,94.46%,,,,,,,
Bosnia and Herzegovina,BIH,Europe,3829,1000,2013,-0.12%,3853,3887,4585,76.12,927.61,98.15%,,,,,,,
Botswana,BWA,Africa,2021,1000,2013,0.86%,1952,1855,1343,46.99,871.78,86.73%,,,,,,,
Brazil,BRA,South America,200362,1000,2013,0.86%,193491,184010,147079,73.62,"1,108.65",91.33%,,,,,,,
Brunei,BRN,Oceania,418,1000,2013,1.35%,394,361,250,78.37,"1,218.45",95.39%,,,,,,,
Bulgaria,BGR,Europe,7265,1000,2013,-0.56%,7444,7781,8877,74.31,"1,177.08",98.35%,,,,,,,
Burkina Faso,BFA,Africa,16935,1000,2013,2.88%,15095,13034,8580,55.86,90.1,28.73%,,,,,,,
Burundi,BDI,Africa,10163,1000,2013,3.18%,8927,7511,5449,53.63,44.64,67.16%,,,,,,,
Cambodia,KHM,Asia,15135,1000,2013,1.82%,14144,13149,8769,71.41,135.32,73.90%,,,,,,,
Cameroon,CMR,Africa,22254,1000,2013,2.55%,20104,17675,11717,54.59,120.17,71.29%,,,,,,,
Canada,CAN,North America,35158,1000,2013,1.16%,33629,31995,27379,81.24,"4,675.86",n.a.,,,,,,,
Cape Verde,CPV,Africa,499,1000,2013,0.91%,486,474,346,74.54,166.43,85.33%,,,,,,,
Central African Republic,CAF,Africa,4616,1000,2013,2.02%,4266,3894,2852,49.48,32.22,56.61%,,,,,,,
Chad,TCD,Africa,12825,1000,2013,3.03%,11371,9665,5765,50.7,41.9,37.27%,,,,,,,
Chile,CHL,South America,17620,1000,2013,0.89%,16992,16168,12981,79.57,"1,606.07",98.55%,,,,,,,
China,CHN,Asia,1357380,1000,2013,0.49%,1331260,1296075,1118650,75.2,479.97,95.12%,,,,,,,
Colombia,COL,South America,48321,1000,2013,1.29%,45803,42528,32657,73.78,723.31,93.58%,,,,,,,
Comoros,COM,Africa,735,1000,2013,2.43%,666,585,403,60.64,55.79,75.94%,,,,,,,
Congo,COD,Africa,67514,1000,2013,2.75%,60486,52487,33728,49.62,23.58,66.80%,,,,,,,
Congo-Brazzaville,COG,Africa,4448,1000,2013,2.55%,3995,3449,2320,58.3,140.05,n.a.,,,,,,,
Costa Rica,CRI,North America,4872,1000,2013,1.39%,4601,4246,3001,79.71,"1,310.59",97.41%,,,,,,,
Croatia,HRV,Europe,4253,1000,2013,-0.35%,4429,4439,4767,76.92,"1,409.77",99.13%,,,,,,,
Cuba,CUB,North America,11266,1000,2013,-0.05%,11289,11273,10504,79.07,404.95,99.84%,,,,,,,
Cyprus,CYP,Europe,1141,1000,2013,1.08%,1091,1016,751,79.64,"2,266.00",98.68%,,,,,,,
Czech Republic,CZE,Europe,10521,1000,2013,0.10%,10444,10197,10361,78.08,"2,045.98",n.a.,,,,,,,
Denmark,DNK,Europe,5614,1000,2013,0.40%,5523,5405,5133,80.05,"4,719.76",n.a.,,,,,,,
Djibouti,DJI,Africa,873,1000,2013,1.54%,822,766,560,61.3,231.4,n.a.,,,,,,,
Dominica,DMA,North America,72,1000,2013,0.45%,71,70,71,76.6,739.99,n.a.,,,,,,,
Dominican Republic,DOM,North America,10404,1000,2013,1.24%,9884,9207,7099,73.23,552.54,90.86%,,,,,,,
Ecuador,ECU,South America,15492,1000,2012,1.61%,14512,13280,9651,76.19,652.22,93.29%,,,,,,,
Egypt,EGY,Africa,82056,1000,2013,1.65%,76775,70591,55207,70.91,323.14,73.87%,,,,,,,
El Salvador,SLV,North America,6340,1000,2013,0.68%,6183,6050,5269,72.1,475.43,85.49%,,,,,,,
Equatorial Guinea,GNQ,Africa,757,1000,2013,2.81%,677,586,362,52.61,"1,431.72",94.51%,,,,,,,
Eritrea,ERI,Africa,6333,1000,2013,3.30%,5558,4666,3210,62.23,16.51,70.49%,,,,,,,
Estonia,EST,Europe,1325,1000,2013,-0.03%,1335,1363,1568,76.43,"1,385.35",99.86%,,,,,,,
Ethiopia,ETH,Africa,94101,1000,2013,2.59%,84838,74066,46435,62.97,43.65,39.00%,,,,,,,
Fiji,FJI,Oceania,881,1000,2013,0.72%,852,819,724,69.74,197.09,n.a.,,,,,,,
Finland,FIN,Europe,5439,1000,2013,0.47%,5339,5228,4964,80.63,"3,544.65",n.a.,,,,,,,
France,FRA,Europe,66028,1000,2013,0.54%,64703,62702,58114,82.57,"4,260.18",n.a.,,,,,,,
Gabon,GAB,Africa,1672,1000,2013,2.40%,1519,1347,921,63.07,558.24,82.28%,,,,,,,
Gambia,GMB,Africa,1849,1000,2013,3.24%,1628,1392,881,58.61,97.69,52.00%,,,,,,,
Georgia,GEO,Asia,4477,1000,2013,-0.31%,4411,4318,4803,73.94,560.73,99.74%,,,,,,,
Germany,DEU,Europe,80622,1000,2013,0.24%,81902,82516,78751,80.89,"4,616.98",n.a.,,,,,,,
Ghana,GHA,Africa,25905,1000,2013,2.12%,23692,20836,14233,60.95,105.93,71.50%,,,,,,,
Greece,GRC,Europe,11032,1000,2013,-0.54%,11187,11056,10089,80.63,"2,346.50",97.36%,,,,,,,
Grenada,GRD,North America,106,1000,2013,0.39%,104,103,97,72.61,690.93,96.00%,,,,,,,
Guatemala,GTM,North America,15468,1000,2013,2.56%,13989,12368,8688,71.66,345.86,78.26%,,,,,,,
Guinea,GIN,Asia,11745,1000,2013,2.57%,10593,9380,5751,55.84,67.29,25.31%,,,,,,,
Guinea-Bissau,GNB,Asia,1704,1000,2013,2.45%,1551,1391,995,54.03,65.78,56.74%,,,,,,,
Guyana,GUY,South America,800,1000,2013,0.53%,781,757,728,66.05,222.94,n.a.,,,,,,,
Haiti,HTI,North America,10317,1000,2013,1.41%,9765,9130,6965,62.7,83.7,48.69%,,,,,,,
Honduras,HND,North America,8098,1000,2013,2.04%,7470,6762,4767,73.49,353.84,85.36%,,,,,,,
Hong Kong,HKG,Asia,7188,1000,2013,0.46%,6973,6784,5686,83.48,n.a.,n.a.,,,,,,,
Hungary,HUN,Europe,9897,1000,2013,-0.23%,10023,10107,10482,75.06,"1,729.27",99.37%,,,,,,,
Iceland,ISL,Europe,323,1000,2013,0.71%,318,292,253,82.92,"3,435.86",n.a.,,,,,,,
India,IND,Asia,1252140,1000,2013,1.25%,1190138,1110626,851375,66.21,156.85,62.75%,,,,,,,
Indonesia,IDN,Asia,249866,1000,2013,1.22%,237487,221294,175461,70.61,150.11,92.81%,,,,,,,
Iran,IRN,Asia,77447,1000,2013,1.34%,73543,69342,54938,73.76,"1,562.24",84.28%,,,,,,,
Iraq,IRQ,Asia,33417,1000,2013,2.58%,30163,26674,17074,69.24,148.93,79.00%,,,,,,,
Ireland,IRL,Europe,4595,1000,2013,0.18%,4535,4070,3511,80.9,"3,529.16",n.a.,,,,,,,
Israel,ISR,Asia,8059,1000,2013,1.88%,7486,6809,4518,81.7,"2,238.81",97.76%,,,,,,,
Italy,ITA,Europe,59831,1000,2013,0.49%,59095,57685,56672,82.94,"3,040.08",99.03%,,,,,,,
Ivory Coast,CIV,Africa,20316,1000,2013,2.40%,18601,17144,11711,50.4,144.05,40.98%,,,,,,,
Jamaica,JAM,North America,2715,1000,2013,0.27%,2681,2634,2375,73.28,460.73,87.48%,,,,,,,
Japan,JPN,Asia,127339,1000,2013,-0.17%,127558,127761,123116,83.1,"3,577.67",n.a.,,,,,,,
Jordan,JOR,Asia,6459,1000,2013,2.23%,5915,5290,3056,73.75,483.39,97.89%,,,,,,,
Kazakhstan,KAZ,Asia,17038,1000,2013,1.47%,16093,15013,16250,69.61,607.56,99.69%,,,,,,,
Kenya,KEN,Africa,44354,1000,2013,2.72%,39825,34835,22667,61.08,83.51,87.38%,,,,,,,
Kiribati,KIR,Oceania,102,1000,2013,1.55%,96,89,69,68.53,263.73,n.a.,,,,,,,
Kosovo,KSV,Europe,1824,1000,2013,0.93%,1761,1705,1827,70.5,n.a.,n.a.,,,,,,,
Kuwait,KWT,Asia,3369,1000,2013,3.63%,2850,2196,2059,74.36,"1,376.66",95.51%,,,,,,,
Kyrgyzstan,KGZ,Asia,5720,1000,2013,2.00%,5383,5105,4308,70,175.13,99.24%,,,,,,,
Laos,LAO,Asia,6770,1000,2013,1.86%,6268,5699,4123,67.81,84.37,72.70%,,,,,,,
Latvia,LVA,Europe,2013,1000,2013,-1.03%,2142,2263,2667,73.78,"1,188.06",99.90%,,,,,,,
Lebanon,LBN,Asia,4467,1000,2013,0.96%,4247,3854,2677,79.85,"1,015.63",89.61%,,,,,,,
Lesotho,LSO,Africa,2074,1000,2013,1.12%,1990,1912,1570,48.84,226.78,89.65%,,,,,,,
Liberia,LBR,Africa,4294,1000,2013,2.47%,3821,3185,2137,60.21,101.65,60.78%,,,,,,,
Libya,LBY,Africa,6202,1000,2013,0.76%,5964,5507,4161,75.18,439.07,89.88%,,,,,,,
Lithuania,LTU,Europe,2956,1000,2013,-1.06%,3163,3377,3684,73.86,"1,426.27",99.82%,,,,,,,
Luxembourg,LUX,Europe,543,1000,2013,2.31%,498,458,377,81.39,"6,340.61",n.a.,,,,,,,
Macedonia,MKD,Europe,2107,1000,2013,0.08%,2101,2086,2006,75.03,834.94,97.54%,,,,,,,
Madagascar,MDG,Africa,22925,1000,2013,2.83%,20496,17763,11206,64.25,39.86,64.48%,,,,,,,
Malawi,MWI,Africa,16363,1000,2013,2.87%,14573,12569,9105,54.72,82.58,61.31%,,,,,,,
